code,name
7164,knm
5199,hibiscs [s]
5218,sapnrg [s]
0082wb,gpacket-wb
5243,velesto [s]
5210,armada
0152,dgb [s]
0036,kgroup [s]
5202,msm [s]
7036,bornoil [s]
0165,xox [s]
5199wc,hibiscs-wc [s]
0024,jag [s]
5115,alam [s]
0082,gpacket
7108,perdana [s]
0150,fintec
5113,rsawit [s]
0065,eforce [s]
0091,daya
7013,hubline [s]
5216wa,dsonic-wa [s]
0111,k1 [s]
2127,comfort [s]
9601,hwgb [s]
0163,carepls [s]
2054,tdm
0133,sanichi
5257,carimin [s]
5255,icon [s]
3891,muiind
7145,ages [s]
9601wd,hwgb-wd [s]
3662,mflour
0102,connect [s]
5141,dayang [s]
5222,fgv [s]
7250,uzma [s]
0188wa,hlt-wa [s]
5115wa,alam-wa [s]
4456,dnex [s]
7097,tawin
5256,reach [s]
7219,minetec [s]
0022,parlo [s]
5216,dsonic [s]
6084,star [s]
5242wa,solid-wa [s]
1287,pmhldg [s]
0188,hlt [s]
0182,lkl [s]
5254,bplant [s]
0018,lambo
7201,picorp [s]
5279wa,serbadk-wa [s]
0179,biohldg [s]
7215wb,nihsin-wb [s]
5238,aax [s]
9342,anzo [s]
5256wa,reach-wa [s]
06519s,hsi-c9s
7145pa,ages-pa
5242,solid [s]
8877,ekovest [s]
7106,supermx [s]
0111wc,k1-wc [s]
5268,ikhmas [s]
5099,airasia [s]
4383,jtiasa [s]
7181,arbb [s]
0187,bcmall [s]
5073,naim [s]
0005,ucrest [s]
8532,sinotop [s]
7251,barakah [s]
0143,keyasic [s]
0083,notion [s]
2283,zelan [s]
0162,widad [s]
7154,caely [s]
516841,harta-c41
7215,nihsin [s]
7079,tiger [s]
0107,eduspec [s]
5218wa,sapnrg-wa [s]
0138,myeg [s]
5204,presbhd [s]
5156,xdl
0092,mtouche
0180,ktc
5277,fpgroup [s]
5279,serbadk [s]
3395,bjcorp
7179,dbe [s]
0098,bahvest [s]
4502,media
2194,mmccorp [s]
0078,gdex [s]
0152wb,dgb-wb [s]
0075,lyc [s]
5182,mct [s]
0032,redtone
0118,trive [s]
7223,jadi [s]
8303,lotus [s]
7097wa,tawin-wa
4723,jaks [s]
7113,topglov [s]
1023,cimb
6637wa,pnepcb-wa [s]
0151,kgb [s]
0026pa,novamsc-pa
5143,luxchem [s]
0213,mtag [s]
6254,pdz [s]
7066,yongtai [s]
5281,advcon [s]
5255wa,icon-wa [s]
0069,vivocom [s]
0217,pwrwell
1481,asb
0215,slvest [s]
7212,destini [s]
7206,thheavy [s]
4715,genm
7153c6,kossan-c6
